UM_CODE,UM_NAMEF,global_id,UM_NAMES,UM_TRANS,UM_TYPE,UM_TM,UM_TE,UM_KLADR,,,,,,,,
9895,площадь Академика Келдыша,58481171,пл. Академика Келдыша,ploshhad` Akademika Keldy'sha,4,,704,707,"7,7000000000146E+016",,,,,,,
9900,Керамический проезд,58481172,Керамический пр.,Keramicheskij proezd,3,,206,"7,70000000001461E+016",,,,,,,,
9910,Керченская улица,58481173,Керченская ул.,Kerchenskaya ulicza,1,,703,"7,70000000001462E+016",,,,,,,,
9920,Кетчерская улица,58481174,Кетчерская ул.,Ketcherskaya ulicza,1,,404,"7,70000000000399E+016",,,,,,,,
9950,улица Кибальчича,58481175,ул. Кибальчича,ulicza Kibal`chicha,1,,301,"7,70000000001463E+016",,,,,,,,
9970,Киевская улица,58481176,Киевская ул.,Kievskaya ulicza,1,,805,"7,70000000001464E+016",,,,,,,,
9980,площадь Киевского Вокзала,58481177,пл. Киевского Вокзала,ploshhad` Kievskogo Vokzala,4,,805,"7,70000000001465E+016",,,,,,,,
9985,Киевское шоссе,58481178,Киевское ш.,Kievskoe shosse,6,,813,"7,70000000004324E+016",,,,,,,,
9990,улица Кипренского,58481179,ул. Кипренского,ulicza Kiprenskogo,1,,214,"7,70000000003318E+016",,,,,,,,
10000,площадь Мартина Лютера Кинга,58481180,пл. Мартина Лютера Кинга,ploshhad` Martina Lyutera Kinga,4,,704,"7,70000000003713E+016",,,,,,,,
10020,проезд Кирова,58481181,пр. Кирова,proezd Kirova,3,,508,"7,70000000000176E+016",,,,,,,,
10030,Мясницкая улица,58481182,Мясницкая ул.,Myasniczkaya ulicza,1,,102,104,"7,70000000007119E+016",,,,,,,
10040,Кировоградская улица,58481183,Кировоградская ул.,Kirovogradskaya ulicza,1,,619,620,621,"7,70000000001468E+016",,,,,,
10050,Кировоградский проезд,58481184,Кировоградский пр.,Kirovogradskij proezd,3,,621,620,"7,70000000001469E+016",,,,,,,
10060,улица Кирпичные Выемки,58481185,ул. Кирпичные Выемки,ulicza Kirpichny'e Vy'emki,1,,621,"7,70000000003657E+016",,,,,,,,
10070,3-й Кирпичный переулок,58481186,3-й Кирпичный пер.,Tretij Kirpichny'j pereulok,2,,417,"7,70000000003658E+016",,,,,,,,
10080,Мясницкий проезд,58481187,Мясницкий пр.,Myasniczkij proezd,3,,102,104,"7,70000000007028E+016",,,,,,,
